code,term
677B.,Advice about treatment given
8CA..,Patient given advice
8CA0.,Patient advised to inform insurance company
8CA4F,Patient advised about vegetarian diet
8CA4G,Patient advised about vegan diet
8CA4z,Patient advised about diet NOS
8CA8.,Patient advised not to drive
8CA9.,Patient advised to inform DVLA
8CAA.,Patient advised to see solicitor
8CAB.,Patient advised about exposure to the sun
8CAC.,Patient advised about safe drinking - water
8CAD.,Patient advised about the need for insect repellent
8CAE.,Patient advised about the risks of HIV
8CAF.,Patient advised to buy medical kit
8CAG.,Pneumococcal immunisation advised in surgery
8CAJ.,Patient advised about driving
8CAZ.,Patient given advice NOS
8H9..,Planned telephone contact
9N31.,Telephone encounter
9NF4.,Visit out of hours
9NF5.,Out of hours visit - not night visit
9NF6.,Weekend visit
9NF7.,Urgent home visit
9NF8.,Acute home visit
9NFB.,Home visit elderly assessment
Ua04q,Discussion about procedure
Ua04r,Discussion about treatment
Ua04s,Discussion about therapy
Ua2Cd,Joint home visit
XaBQf,Home visit
XaCE3,Patient advised to use sunblock
XaCEI,Patient advised of carers legal rights
XaDv9,Patient advised clear fluids
XaE4R,Patient advised about driving
XaEFD,Patient given telephone advice out of hours
XaFvh,Bank holiday home visit
XaFvp,Patient advised about alcohol
XaIRP,Patient given telephone advice during surgery hours
XaIgL,Follow-up/routine visit note
XaIgS,Residential home visit note
XaIgV,Home visit note
XaIgc,Telephone call to a patient
XaIgd,Hotel visit note
XaIge,Telephone consultation
XaIgm,Acute visit note
XaIgn,Children's home visit note
XaIgo,Night visit note
XaIgu,Nursing home visit note
XaImK,Oral health advice given
XaIsi,Cancer care plan discussed with patient
XaIsj,Cancer care plan discussed with significant other
XaIvd,Telephone triage encounter
XaIwl,Head injury advice given
XaIwp,Clinical examination explained
XaIyf,Advice about blood glucose control
XaJQI,Mental health crisis plan discussed with service user
XaJZ2,Patient advised to have pregnancy test
XaJux,Advised risk of deep vein thrombosis in air travel
XaKEz,Patient given advice about management of depression
XaKHD,Transition of diabetes care options discussed
XaKNG,Patient advised to contact NHS Direct
XaKz0,Pt ad notify sexual partners of sexual transmitted infection
XaL2D,"Patient advised about rest, ice, compression and elevation"
XaL54,Patient advised to contact emergency ambulance service ASAP
