id,description
4000,AMB septicaemia
4086,AMB chest pain (undifferentiated)
4174,PC relationship breakdown
4246,AMB imminent seizure
4318,PC Stoma Management
4407,"RP ED non-trauma bleeding nose, ear, eye or mouth"
4410,ED hydraulic injection injury
4411,"PC dental trauma, tooth avulsion"
4412,AMB acute neurological symptoms prior to injury
4413,PC repeat prescription
4416,PC support pessary displaced and/ or removal required
4417,PC intrauterine coil displaced and/ or removal required
4419,ED mental health crisis
4420,PC failed contraception and retained foreign body
4421,"AMB major blunt injury, torso"
4422,"AMB major blunt injury, head/neck"
4425,AMB fitting
4426,AMB unexpected death
4427,"Major blood loss, unspecified"
4428,Major Trauma
4429,AMB Cold Hands and/or Feet
4451,AMB burn chemical
4457,AMB diabetes AND severely ill
4465,CN Other Community Healthcare Professional
4466,CN District Nurse
4467,PC Pharmacy Services
4468,PC HCP Callback to Paramedic
4469,PC Prescription Request
4319,PC alcohol drug withdrawal
4320,PC Failed Contraception over 72 hours
4323,CN Community Nurse
4324,CN Community Midwife
4325,AMB faecal vomiting
4326,PC Community Healthcare Professional Service Location
4328,PC Receive report of results or tests
4329,"PC repeat prescription, urgent"
4330,RP ED failed contraception
4332,RP AMB urinary retention
4333,RP ED minor injury
4334,RP ED intoxication
4336,RP ED medication toxicity
4337,"RP AMB injury, severe pain"
4338,RP AMB fit or seizure within past 12 hours
4339,RP ED early labour
4340,RP PC referral without triage
4341,RP flu medication collection
4342,RP AMB antidepressant medication toxicity
4343,RP ED child protection/vulnerable adult concern
4344,"RP ED Trauma bleeding, nose, ear, eye or mouth"
4346,RP referral by healthcare professional
4347,RP bought in by police
4348,RP ED referral without triage
4349,RP ED behaviour problem
4350,"RP ED nose, foreign body"
4351,"RP ED genital, foreign body"
4352,"RP ED ear, foreign body"
4353,"RP ED throat, foreign body"
4355,RP ED management of dressings
4356,"RP PC Non trauma bleeding, nose, ear, eye or mouth"
4357,RP AMB labour
4358,RP AMB septicaemia
4359,RP AMB acute coronary syndrome
4360,RP AMB meningitis
4361,RP AMB severe pain
4363,RP ED features of severe illness
4364,RP AMB suicide attempt
4365,RP AMB anaphylaxis
4366,RP AMB stroke
4367,"RP AMB major blood loss, trauma"
4368,"RP AMB resuscitation, recent"
4369,RP AMB major blood loss
4370,RP AMB features of severe illness
4371,RP AMB severe injury
4372,RP AMB intoxication
4373,RP AMB paracetamol toxicity
4374,RP ED urinary retention
4375,"RP AMB medication toxicity, high risk"
4376,RP PC medication toxicity
4377,RP ED urinary catheter problem
4378,RP PC social/domestic emergency
4379,RP ED foreign body in situ
4380,RP ED foreign body location undeclared
4381,"AMB chemical eye splash, high risk"
4382,AMB ICD activation
4383,AMB cardiac symptoms post ICD activation
4384,AMB breathlessness post ICD activation
4385,AMB palpitations post ICD activation
4386,AMB confusion post ICD activation
4387,PC ICD activation
4388,AMB ICD implanted
4389,ED post tonsillectomy bleeding
4391,ED bleeding post dental procedure
4392,PC dental brace problem
4393,PC bleeding post dental procedure
4395,RP AMB diabetes AND confusion
4396,RP ED loose/damaged plaster
4398,"PC tick, removal and bite management"
4399,PC insulin pump management capability
4402,PC viral haemorrhagic fever
4403,ED viral haemorrhagic fever
4404,AMB viral haemorrhagic fever
4405,"PC skin, yellow"
4406,AMB acute neurological deficit
4001,AMB acute coronary syndrome
4002,AMB meningitis
4003,PC full Primary Care assessment and prescribing capability
4004,"AMB foreign body, wound, large"
4005,"AMB ischaemia, post trauma"
4006,AMB compound fracture
4007,AMB fracture and/or dislocation
4008,AMB motor and/or sensory deficit
4009,"ED amputation, digit"
4010,"ALL assault, sexual"
4011,"AMB assault, major"
4012,"AMB bleeding, persistent"
4013,"ED wound, complex"
4014,"ED constricting object, removal required"
4015,ED bleeding disorder
4016,"AMB aortic aneurysm, rupture/dissection"
4017,AMB gastrointestinal bleed
4018,AMB severe pain
4019,AMB toxic ingestion
4020,"PC assessment and management capability, minor condition"
4022,"ED foreign body, removal required"
4023,AMB toxic inhalation
4024,"ED management, significant burn"
4025,AMB hydrofluoric acid
4026,AMB deep vein thrombosis
4027,"AMB ischaemia, non-trauma"
4028,AMB stroke
4029,AMB spinal cord compression
4030,AMB drug/alcohol/solvent misuse
4031,PC sexually transmitted infection
4032,AMB pregnancy
4033,AMB new/worsening breathlessness
4034,AMB haemoptysis
4035,AMB subarachnoid haemorrhage
4036,PC alcohol misuse
4037,AMB pre-eclampsia
4038,"PC genital herpes, recurrent"
4040,PC stress incontinence
4041,PC contraception issue
4042,AMB hypothermia
4043,AMB major head/neck injury
4044,AMB suicide attempt
4045,AMB aggression/violence
4046,"AMB unconsciousness, recent"
4047,PC full dental assessment and prescribing capability
4048,AMB fit/convulsion
4049,AMB heat stroke
4050,ED dehydration
4051,PC child protection/vulnerable adult concern
4052,ED full ED assessment and management capability
4053,PC full mental health assessment and prescribing capability
4054,PC substance misuse
4055,PC sexual identity/activity issue
4056,ED toxic shock syndrome
4057,"ED foreign body, vagina"
4058,"ED foreign body, rectum"
4060,AMB acute abdomen
4062,ED welding flash/UV exposure
4066,"PC retained tampon, condom or cap"
4067,AMB high-risk group
4068,AMB hypotension
4070,PC urinary catheter management capability
4071,PC urinary retention
4072,ED testicular torsion
4073,PC urinary catheter problem AND fever
4074,"AMB new/worsening breathlessness AND wound, foreign body, large"
4075,AMB spinal injury
4076,AMB haematuria
4077,"AMB motor/sensory deficit AND wound, foreign body, large"
4078,"AMB electric shock, still in contact with source"
4079,"AMB electric shock, greater than domestic supply"
4080,AMB pregnancy AND confusion
4081,"ED foreign body, skin, small"
4083,AMB choked within previous 24 hours
4084,AMB pulmonary embolism
4085,AMB pneumothorax
4087,AMB cord prolapse
4088,AMB imminent birth
4089,AMB labour
4090,AMB vaginal bleeding
4091,"AMB Head injury, full ED assessment required"
4092,"AMB fall, environmental exposure"
4093,"AMB fall, unable to get up"
4094,"ED electric shock, domestic or lesser supply"
4095,PC social services referral required
4097,AMB palpitations
4098,AMB recent head injury
4099,AMB diabetes mellitus
4100,AMB placental abruption
4101,AMB anaphylaxis
4102,AMB respiratory distress
4103,AMB unable to weight bear
4104,"AMB motor/sensory deficit, spine"
4105,"AMB spinal device, loose or broken"
4106,AMB shock
4107,AMB apnoeic episode
4108,AMB decreased conscious level
4109,AMB stroke
4110,AMB prolonged fitting
4111,AMB seizure (undifferentiated)
4112,PC full obstetric assessment and management capability
4113,AMB untreated/treatment failure
4114,PC management of dressings
4115,"AMB vaginal bleeding, heavy"
4116,AMB abdominal pain
4117,PC police referral required
4118,AMB ambulance dispatch
4119,"AMB medication/toxic substance overdose, high risk"
4120,PC syringe driver management capability
4121,PC peritoneal dialysis catheter management capability
4122,PC central venous line management capability
