id,description
1092,"Foreign Body, Ingested or Inhaled"
1093,"Foreign Body, Nose"
1094,"Foreign Body, Penis"
1095,"Foreign Body, Rectum"
1096,"Foreign Body, Vaginal"
1097,"Genital Injury, Blunt"
1098,"Genital Injury, Blunt, Pregnant"
1099,"Genital Injury, Penetrating"
1100,"Genital Injury, Penetrating, Pregnant, Over 20 weeks"
1101,Genital Problems
1103,Groin Pain or Groin Swelling
1104,"Groin Pain or Groin Swelling, Pregnant, Under 20 Weeks"
1105,"Groin Pain or Swelling, Pregnant, Over 20 Weeks"
1106,Hair loss
1107,"Hand or Wrist Injury, Blunt"
1108,"Hand or Wrist Injury, Penetrating"
1109,Head Lice
1110,"Head, Facial or Neck Injury, Blunt"
1111,"Head, Facial or Neck Injury, Penetrating"
1112,Headache
1113,"Headache, Pregnant"
1114,Heat Exposure
1115,"Hip, Thigh or Buttock Pain or Swelling"
1116,Itch
1117,Knee or Lower Leg Pain or Swelling
1118,Labour and Childbirth
1119,"Leg Injury, Blunt"
1120,"Leg Injury, Penetrating"
1121,Locked Jaw
1122,"Lower Back Injury, Blunt"
1123,"Lower Back Injury, Blunt, Pregnant"
1124,"Lower Back Injury, Penetrating"
1125,"Lower Back Injury, Penetrating, Pregnant"
1126,Lower Back Pain
1127,"Lower Back Pain, Pregnant, Over 20 weeks"
1128,Lower Limb Pain or Swelling
1129,Mouth Ulcers
1130,Nasal Congestion
1131,Nosebleeds without injury
1132,"Nosebleeds, Traumatic"
1133,Numbness or Pins and Needles
1134,"Other Dental Problems - Fillings, Crowns Bridges, Appliances etc"
1135,Pain and/or Frequency Passing Urine
1136,"Pain, Frequency and/or Difficulty Passing Urine"
1137,Palpitations
1138,"Palpitations, Pregnant"
1139,Plaster Cast Problems
1140,Predetermined Management Plan
1141,Probable Stroke
1143,Rectal Bleeding
1144,"Rectal Pain, Swelling, Lump or Itch"
1145,Scratches and Grazes
1146,Sexual Problems or Concerns
1147,Shoulder Pain
1148,Sinusitis
1149,Skin Lumps
1150,"Skin, Glued"
1151,"Skin, Minor Foreign Body"
1152,"Skin, Rash"
1153,"Skin, Yellow"
1154,Sleep Difficulties
1155,Social or Domestic Emergency
1156,Sore Throat or Hoarse Voice
